iter	Logloss
0	0.6913967255
1	0.6904899377
2	0.6894450156
3	0.6883034965
4	0.6862619562
5	0.6849666146
6	0.6842366229
7	0.6833706034
8	0.6823739334
9	0.6816546751
10	0.6807039629
11	0.6790453949
12	0.6779340244
13	0.6771173509
14	0.6757961598
15	0.6750067659
16	0.6743363124
17	0.6730219134
18	0.6724462411
19	0.6712033835
20	0.6695065496
21	0.6682387654
22	0.666907629
23	0.66623475
24	0.6651062702
25	0.6641182071
26	0.6626319429
27	0.6610803349
28	0.6601592133
29	0.6598060728
30	0.6588345613
31	0.6577606144
32	0.6569694339
33	0.6561710477
34	0.6553061405
35	0.6537715994
36	0.6526880941
37	0.6516173121
38	0.6508704499
39	0.6501190424
40	0.6487324481
41	0.6474938056
42	0.6466217486
43	0.6455428921
44	0.6442945139
45	0.6437924804
46	0.6423834983
47	0.641766018
48	0.64096979
49	0.6396389741
50	0.6390182591
51	0.6380907513
52	0.637221274
53	0.636030263
54	0.6353595088
55	0.6348359042
56	0.6341399164
57	0.6333803026
58	0.6323598127
59	0.6313969064
60	0.6307257421
61	0.6298831386
62	0.6291354982
63	0.6281058301
64	0.6271738974
65	0.6259248943
66	0.6246543285
67	0.6235912041
68	0.6226646667
69	0.6219842775
70	0.6210472192
71	0.6200102851
72	0.6187548043
73	0.6178754995
74	0.6171801455
75	0.6161710501
76	0.6154801327
77	0.6145022528
78	0.6136889144
79	0.6125824944
80	0.6117368898
81	0.6110497311
82	0.6102628698
83	0.6096010764
84	0.6084922434
85	0.607372908
86	0.6067467345
87	0.6060468398
88	0.6056681475
89	0.6048317695
90	0.604146362
91	0.6034882926
92	0.6027826041
93	0.6018838356
94	0.6013764957
95	0.600737839
96	0.6002109126
97	0.5992452888
98	0.5985020392
99	0.5980037247
100	0.5972514919
101	0.5966944051
102	0.5960411354
103	0.595381042
104	0.5944386031
105	0.5935599941
106	0.5930236645
107	0.5925929473
108	0.5912769898
109	0.5905578528
110	0.5900593262
111	0.5893082924
112	0.5886439597
113	0.5878939994
114	0.5873139503
115	0.5865214155
116	0.5858517221
117	0.5848524839
118	0.5843245507
119	0.5836803828
120	0.5830091378
121	0.5825545842
122	0.5813653817
123	0.5807342574
124	0.5801422434
125	0.5794582198
126	0.5787558874
127	0.578469211
128	0.5777460458
129	0.5773489805
130	0.5767417231
131	0.5760622014
132	0.5749826639
133	0.5743981669
134	0.5740108802
135	0.5736517143
136	0.5732625915
137	0.5727941039
138	0.5722407943
139	0.5717762828
140	0.5710972328
141	0.5705151205
142	0.570083536
143	0.5687555768
144	0.5682023462
145	0.567601851
146	0.5671816233
147	0.5667541011
148	0.5661798219
149	0.5656041592
150	0.5646554549
151	0.5637141606
152	0.5629845717
